Date,Event,Actor(s),Source,Accountability Issue,Legal Violation,Evidence Location
2025-02-25,State MOU Signed with BorderPlex Digital,NM Governor's Office & BorderPlex Digital Assets LLC,BorderPlex Digital MOU,State committed to support project before county approval; promised regulatory fast-tracking,Potential Open Meetings Act violation; Pre-commitment without public input,2.25.25.BorderPlexDigitalMOU.part001.md
2025-02-25,State promises to classify natural gas as "zero carbon resource",NM Governor's Office,BorderPlex Digital MOU,Misrepresentation of environmental impact; contradiction to NM climate goals,Misapplication of NM Energy Transition Act definitions,2.25.25.BorderPlexDigitalMOU.part001.md lines 115-125
2025-02-25,State commits to subsidize brackish water drilling costs,NM Governor's Office & Economic Development Dept,BorderPlex Digital MOU,Public funds committed to private project without legislative approval,Improper commitment of state funds,2.25.25.BorderPlexDigitalMOU.part002.md lines 16-22
2025-02-25,State promises expedited permitting,NM Environment Dept & State Engineer Office,BorderPlex Digital MOU,Circumventing normal regulatory review processes,Administrative Procedure Act concerns,2.25.25.BorderPlexDigitalMOU.part002.md lines 37-43
Early 2025,County officials sign NDA with developers,Doña Ana County Commission & BorderPlex Digital,Legal complaint filing,Secret negotiations prevented public transparency,Open Meetings Act violation,Petition part001.md line 16
Early 2025,Private meetings held months before public hearings,Doña Ana County Commission & BorderPlex Digital,Legal complaint filing,Decisions made before public input,Open Meetings Act violation; Due Process violation,kfoxtv.com lawsuit article line 16
2025-08-19,Community protests at Legislative Finance Committee,Empowerment Congress & community members,NMELC article,Opposition to water usage for data centers; "You Can't Drink Data" protests,N/A - Citizen action,nmelc.org_2025_08_22 article
2025-08-19,BorderPlex CEO Lanham Napier testifies to legislature,Lanham Napier (BorderPlex CEO),NMELC article,Promoting project to state legislators,N/A - Corporate lobbying,nmelc.org_2025_08_22 article
2025-09-05,Commissioner Reynolds doxxes residents who opposed project,Commissioner Shannon Reynolds,NMELC formal letter,Posted names/addresses of public commenters on Facebook to intimidate opposition,First Amendment retaliation; Abuse of public office; Invasion of privacy,nmelc.org_2025_09_08 doxxing article lines 9-10
2025-09-08,NMELC sends formal complaint letter about doxxing,New Mexico Environmental Law Center,NMELC press release,Demanding county take action against commissioner misconduct,N/A - Legal advocacy,nmelc.org_2025_09_08 article line 10
2025-09-19,IRB Inducement Resolution No. 2025-96 approved,Doña Ana County Commission (4-1 vote),County Resolution,Authorized beginning IRB process for $165 billion,Incomplete application; Missing required information,Resolution-No.-2025-96 files
2025-09-19,Ordinance No. 367-2025 (IRB) approved 4-1,Commissioners: YES votes (4) / NO: Susana Chaparro,County meeting minutes & news coverage,Approved $165B in Industrial Revenue Bonds despite incomplete application,Reliance on incomplete application; NMSA §§ 3-32-1 et seq. violations,9.19.25.JupiterIRBOrdinance files
2025-09-19,Ordinance No. 368-2025 (LEDA GRT Share) approved 4-1,Commissioners: YES votes (4) / NO: Susana Chaparro,County meeting minutes & news coverage,Approved GRT tax sharing without proper economic analysis,Project doesn't qualify for LEDA under NMSA 1978 §§ 5-10-1 et seq.,Ordinance-No.-368-2025 files
2025-09-19,Community protests at county meeting,Daisy Maldonado (Empower NM) & community members,KFOX14 news coverage,Called for delay; cited missing economic & environmental analyses,N/A - Citizen action,kfoxtv.com Sept 19 article lines 18-22
2025-09-19,Sunland Park Mayor requests delay,Mayor Javier Perea (City of Sunland Park),KFOX14 news coverage,"Finding out information same time as press releases"; lack of coordination with affected municipality,Failure to coordinate with affected jurisdictions,kfoxtv.com Sept 19 article lines 16-17
2025-09-19,County Manager claims project brings thousands of jobs,Stephen Lopez (Assistant County Manager),KFOX14 news coverage,Public statements promoting project; "largest potential commercial project",Potential conflict of interest; Advocacy rather than neutral administration,kfoxtv.com Sept 19 article line 13
2025-10-14,Ordinance No. 369-2025 (LEDA Building Permit Fees) approved 4-1,Commissioners: YES votes (4) / NO: Susana Chaparro,County meeting & legal complaint,Approved second LEDA funding mechanism,Continued violation; Project doesn't qualify for LEDA,Ordinance-No.-369-2025 files
2025-10-14,Community members continue protests at meeting,Empowerment Congress representatives & residents,Legal complaint,Verbal public comments opposing LEDA Ordinance 2,N/A - Citizen action,Petition part001.md lines 127-128
2025-10-17,Legal complaint filed in Third Judicial District Court,Empowerment Congress of Doña Ana County & José Saldaña Jr. & Vivian Fuller,Court filing D-307-CV-2025-02766,Petition for Writ of Certiorari challenging three ordinances,Seeking judicial review & stay of implementation,Petition-for-Writ full document
2025-10-17,Lawsuit alleges incomplete application,Plaintiffs via NMELC,Legal complaint,Application contained "blank and missing pages" and lacked critical information,Violation of county ordinance requirements for complete applications,kfoxtv.com lawsuit article line 15
2025-10-17,Lawsuit alleges no statutory authority for LEDA funding,Plaintiffs via NMELC,Legal complaint,Project doesn't create "new jobs" required by LEDA statute,NMSA 1978 § 5-10-3(F) violation,Petition multiple sections
2025-10-17,Community Development Agreement signed,Doña Ana County & BorderPlex Digital,County document,Formal agreement executed same day lawsuit filed,Timing suggests rush to finalize before legal challenge,Updated-Community-Development-Agreement files
2025-10-23,NMELC press release announces lawsuit (bilingual),New Mexico Environmental Law Center,Press release (English & Spanish),Public announcement of legal action,N/A - Legal advocacy,nmelc.org PR-SP_ST-10-23-25.pdf
