id,type,timestamp,actor,statement_or_action,source,source_locator,verification_status,financial_amount,contractual_obligation,enforcement_mechanism,contradiction_with,timeline_discrepancy,notes,tags,related_ids
VOTE-0039,vote,2025-08-26,Doña Ana County Board of Commissioners,Vote 4-1 to hold a Sept 19 public hearing on proposed IRB and LEDA ordinances related to Project Jupiter.,https://nmelc.org/wp-content/uploads/2025/11/2025-11-04-Amended-Motion-for-Stay.pdf,Amended Motion for Stay (Attachment context).,verified_primary,,,,,,,,
VOTE-0040,vote,2025-09-09,Doña Ana County Board of Commissioners,Vote 4-1 to hold an Oct 14 public hearing on proposed Ordinance 369-2025 (additional IRB-related ordinance).,https://nmelc.org/wp-content/uploads/2025/11/2025-11-04-Amended-Motion-for-Stay.pdf,Amended Motion for Stay (procedural history).,verified_primary,,,,,,,,
VOTE-0041,vote,2025-09-19,Doña Ana County Board of Commissioners,Vote 4-1 to approve Ordinance 367-2025 (IRB) and Ordinance 368-2025 (LEDA/GRT agreement).,/mnt/data/PROJECT_JUPITER_QUOTES_COMPILATION.md,Voting record section.,verified_primary,,,,,,,,
VOTE-0042,vote,2025-09-19,Commission votes (named),"Yes: Christopher Schaljo-Hernandez, Gloria Gameros, Shannon Reynolds, Manuel A. Sanchez. No: Susana Chaparro.",/mnt/data/CONTACTS.md,Key accountability notes / vote record.,verified_primary,,,,,,Named vote breakdown compiled from county commissioner listings and lawsuit/news references in user files.,,VOTE-0041
VOTE-0043,vote,2025-10-14,Doña Ana County Board of Commissioners,Vote 4-1 to approve Ordinance 369-2025 (additional IRB ordinance).,/mnt/data/PROJECT_JUPITER_QUOTES_COMPILATION.md,Voting record section.,verified_primary,,,,,,,,
VOTE-0044,vote,2025-10-14,Commission votes (named),"Yes: Christopher Schaljo-Hernandez, Gloria Gameros, Shannon Reynolds, Manuel A. Sanchez. No: Susana Chaparro.",/mnt/data/CONTACTS.md,Key accountability notes / vote record.,verified_primary,,,,,,Named vote breakdown compiled from county commissioner listings and lawsuit/news references in user files.,,VOTE-0043
FINANCIAL_COMMITMENT-0056,financial_commitment,2025-09-17,Doña Ana County & BorderPlex Digital Assets LLC,"County agrees to provide a GRT Share (LEDA incentive) totaling up to $50,000,000 for eligible project costs.",https://haussamen.com/wp-content/uploads/2025/10/9.17.25.JupiterProjectParticipationAgreement.pdf,PPA (payment obligation + eligible costs).,verified_primary,"Up to $50,000,000","Provide GRT Share payments up to $50M, subject to documentation and annual performance review.","PPA provides annual performance review, audit rights, withholding of disbursements for noncompliance; termination via ordinance; clawback penalty for nonpayment by company where required.",,,,,
FINANCIAL_COMMITMENT-0057,financial_commitment,2025-09-17,Doña Ana County & BorderPlex Digital Assets LLC,"County agrees to reduce permit fees by $4,500,000 (permit fee reductions).",https://haussamen.com/wp-content/uploads/2025/10/9.17.25.JupiterProjectParticipationAgreement.pdf,PPA (permit fee reductions).,verified_primary,"$4,500,000",Permit fee reductions totaling $4.5M.,Administered through county permitting; enforcement largely administrative; verify clawback/remedy language in PPA.,,,,,
FINANCIAL_COMMITMENT-0046,financial_commitment,2025-09-18,Project Jupiter developer entities,"Annual PILOT payments totaling $12,000,000 per year for 30 years (public reporting).",https://haussamen.com/2025/10/12/project-jupiters-big-promises-are-legally-binding/,"Haussamen Oct 12, 2025 article, 'The promises' section.",verified_secondary,"$12,000,000/year; ~$360,000,000 total",,,,,Breakdown among County and school districts reported in article; verify against each lease's §5.10 and Exhibit C allocations.,,
FINANCIAL_COMMITMENT-0053,financial_commitment,2025-09-18,BorderPlex Digital Assets LLC (via MOU Appendix B),"Total contributions of $6,900,000 (workforce, Boys & Girls Club, desalination exploration, DACC transit aid, habitat protection).",https://haussamen.com/wp-content/uploads/2025/10/9.18.25.MOU_.pdf,MOU Appendix B (contributions) and §5.2 (binding).,verified_primary,"$6,900,000",Make listed contributions in Appendix B; conditional on MOU execution and ordinance approvals.,MOU §5.2 makes contributions binding; remedies not specified in MOU beyond standard contract enforcement; verify whether leases specify default/remedies tied to contributions.,,,,,
